"UserId","Category","Num_books_for_Category","Spending"
"User_00001","Bambini e Ragazzi",1,13
"User_00002","Bambini e Ragazzi",1,2
"User_00003","Bambini e Ragazzi",1,2
"User_00004","Bambini e Ragazzi",1,10
"User_00005","Bambini e Ragazzi",1,44
"User_00006","Bambini e Ragazzi",1,44
"User_00007","Bambini e Ragazzi",2,103
"User_00008","Bambini e Ragazzi",1,5
"User_00009","Bambini e Ragazzi",1,20
"User_00010","Bambini e Ragazzi",6,60
"User_00011","Bambini e Ragazzi",1,6
"User_00012","Bambini e Ragazzi",1,35
"User_00013","Bambini e Ragazzi",1,12
"User_00014","Bambini e Ragazzi",1,60
"User_00015","Bambini e Ragazzi",1,60
"User_00016","Bambini e Ragazzi",1,14
"User_00017","Bambini e Ragazzi",1,21
"User_00018","Bambini e Ragazzi",1,20
"User_00019","Bambini e Ragazzi",9,376
"User_00020","Bambini e Ragazzi",1,20
"User_00021","Bambini e Ragazzi",1,10
"User_00022","Bambini e Ragazzi",1,4
"User_00023","Bambini e Ragazzi",3,158
"User_00024","Bambini e Ragazzi",1,10
"User_00025","Bambini e Ragazzi",1,10
"User_00026","Bambini e Ragazzi",2,37
"User_00027","Bambini e Ragazzi",1,6
"User_00028","Bambini e Ragazzi",1,10
"User_00029","Bambini e Ragazzi",1,20
"User_00030","Bambini e Ragazzi",4,18
"User_00031","Bambini e Ragazzi",2,28
"User_00032","Bambini e Ragazzi",1,10
"User_00033","Bambini e Ragazzi",1,12
"User_00034","Bambini e Ragazzi",1,16
"User_00035","Bambini e Ragazzi",1,4
"User_00036","Bambini e Ragazzi",1,2
"User_00037","Bambini e Ragazzi",1,60
"User_00038","Bambini e Ragazzi",1,34
"User_00039","Bambini e Ragazzi",1,10
"User_00040","Bambini e Ragazzi",1,4
"User_00041","Bambini e Ragazzi",1,20
"User_00042","Bambini e Ragazzi",1,8
"User_00043","Bambini e Ragazzi",2,12
"User_00044","Bambini e Ragazzi",1,10
"User_00045","Bambini e Ragazzi",1,10
"User_00046","Bambini e Ragazzi",1,5
"User_00047","Bambini e Ragazzi",1,10
"User_00048","Bambini e Ragazzi",1,32
"User_00049","Bambini e Ragazzi",1,5
"User_00050","Bambini e Ragazzi",2,20
"User_00051","Bambini e Ragazzi",1,18
"User_00052","Bambini e Ragazzi",1,6
"User_00053","Bambini e Ragazzi",1,10
"User_00054","Bambini e Ragazzi",1,55
"User_00055","Bambini e Ragazzi",1,4
"User_00056","Bambini e Ragazzi",2,6
"User_00057","Bambini e Ragazzi",4,185
"User_00058","Bambini e Ragazzi",1,5
"User_00059","Bambini e Ragazzi",2,65
"User_00060","Bambini e Ragazzi",1,48
"User_00061","Bambini e Ragazzi",1,10
"User_00062","Bambini e Ragazzi",1,13
"User_00063","Bambini e Ragazzi",1,40
"User_00064","Bambini e Ragazzi",1,50
"User_00065","Bambini e Ragazzi",1,33
"User_00066","Bambini e Ragazzi",1,10
"User_00067","Bambini e Ragazzi",1,44
"User_00068","Bambini e Ragazzi",2,24
"User_00069","Bambini e Ragazzi",1,5
"User_00070","Bambini e Ragazzi",1,50
"User_00071","Bambini e Ragazzi",1,6
"User_00072","Bambini e Ragazzi",1,16
"User_00073","Bambini e Ragazzi",1,10
"User_00074","Bambini e Ragazzi",2,26
"User_00075","Bambini e Ragazzi",1,55
"User_00076","Bambini e Ragazzi",1,55
"User_00077","Bambini e Ragazzi",1,39
"User_00078","Bambini e Ragazzi",1,6
"User_00079","Bambini e Ragazzi",1,10
"User_00080","Bambini e Ragazzi",1,6
"User_00081","Bambini e Ragazzi",1,60
"User_00082","Bambini e Ragazzi",1,12
"User_00083","Bambini e Ragazzi",2,76
"User_00084","Bambini e Ragazzi",1,10
"User_00085","Bambini e Ragazzi",3,139
"User_00086","Bambini e Ragazzi",2,111
"User_00087","Bambini e Ragazzi",3,99
"User_00088","Bambini e Ragazzi",1,10
"User_00089","Bambini e Ragazzi",1,10
"User_00090","Bambini e Ragazzi",1,50
"User_00091","Bambini e Ragazzi",2,48
"User_00092","Bambini e Ragazzi",1,8
"User_00093","Bambini e Ragazzi",1,36
"User_00094","Bambini e Ragazzi",1,10
"User_00095","Bambini e Ragazzi",1,50
"User_00096","Bambini e Ragazzi",1,6
"User_00097","Bambini e Ragazzi",2,53
"User_00098","Bambini e Ragazzi",1,10
"User_00099","Bambini e Ragazzi",1,31
"User_00100","Bambini e Ragazzi",1,22
"User_00101","Bambini e Ragazzi",2,14
"User_00102","Bambini e Ragazzi",1,10
"User_00103","Bambini e Ragazzi",1,16
"User_00104","Bambini e Ragazzi",1,15
"User_00105","Bambini e Ragazzi",1,10
"User_00106","Bambini e Ragazzi",1,10
"User_00107","Bambini e Ragazzi",1,10
"User_00108","Bambini e Ragazzi",1,8
"User_00109","Bambini e Ragazzi",1,10
"User_00110","Bambini e Ragazzi",1,20
"User_00111","Bambini e Ragazzi",1,18
"User_00112","Bambini e Ragazzi",1,19
"User_00113","Bambini e Ragazzi",2,9
"User_00114","Bambini e Ragazzi",1,52
"User_00115","Bambini e Ragazzi",1,9
"User_00116","Bambini e Ragazzi",1,32
"User_00117","Bambini e Ragazzi",1,45
"User_00118","Bambini e Ragazzi",1,19
"User_00119","Bambini e Ragazzi",1,44
"User_00120","Bambini e Ragazzi",2,12
"User_00121","Bambini e Ragazzi",1,10
"User_00122","Bambini e Ragazzi",1,44
"User_00123","Bambini e Ragazzi",1,10
"User_00124","Bambini e Ragazzi",1,10
"User_00125","Bambini e Ragazzi",1,10
"User_00126","Bambini e Ragazzi",1,20
"User_00127","Bambini e Ragazzi",1,10
"User_00128","Bambini e Ragazzi",1,27
"User_00129","Bambini e Ragazzi",1,10
"User_00130","Bambini e Ragazzi",1,10
"User_00131","Bambini e Ragazzi",3,26
"User_00132","Bambini e Ragazzi",1,10
"User_00133","Bambini e Ragazzi",1,20
"User_00134","Bambini e Ragazzi",1,14
"User_00135","Bambini e Ragazzi",1,20
"User_00136","Bambini e Ragazzi",2,50
"User_00137","Bambini e Ragazzi",1,10
"User_00138","Bambini e Ragazzi",1,10
"User_00139","Bambini e Ragazzi",1,10
"User_00140","Bambini e Ragazzi",1,34
"User_00141","Bambini e Ragazzi",1,5
"User_00142","Bambini e Ragazzi",2,10
"User_00143","Bambini e Ragazzi",2,38
"User_00144","Bambini e Ragazzi",1,24
"User_00145","Bambini e Ragazzi",2,137
"User_00146","Bambini e Ragazzi",1,4
"User_00147","Bambini e Ragazzi",1,53
"User_00148","Bambini e Ragazzi",1,10
"User_00149","Bambini e Ragazzi",1,56
"User_00150","Bambini e Ragazzi",1,2
"User_00151","Bambini e Ragazzi",1,13
"User_00152","Bambini e Ragazzi",1,16
"User_00153","Bambini e Ragazzi",1,7
"User_00154","Bambini e Ragazzi",1,5
"User_00155","Bambini e Ragazzi",1,50
"User_00156","Bambini e Ragazzi",1,4
"User_00157","Bambini e Ragazzi",1,20
"User_00158","Bambini e Ragazzi",1,10
"User_00159","Bambini e Ragazzi",1,12
"User_00160","Bambini e Ragazzi",1,14
"User_00161","Bambini e Ragazzi",1,2
"User_00162","Bambini e Ragazzi",2,24
"User_00163","Bambini e Ragazzi",1,8
"User_00164","Bambini e Ragazzi",1,5
"User_00165","Bambini e Ragazzi",1,5
"User_00166","Bambini e Ragazzi",1,26
"User_00167","Bambini e Ragazzi",1,60
"User_00168","Bambini e Ragazzi",1,20
"User_00169","Bambini e Ragazzi",1,10
"User_00170","Bambini e Ragazzi",1,12
"User_00171","Bambini e Ragazzi",1,2
"User_00172","Bambini e Ragazzi",1,48
"User_00173","Bambini e Ragazzi",1,20
"User_00174","Bambini e Ragazzi",1,10
"User_00175","Bambini e Ragazzi",1,2
"User_00176","Bambini e Ragazzi",1,8
"User_00177","Bambini e Ragazzi",1,20
"User_00178","Bambini e Ragazzi",1,51
"User_00179","Bambini e Ragazzi",1,10
"User_00180","Bambini e Ragazzi",1,20
"User_00181","Bambini e Ragazzi",1,21
"User_00182","Bambini e Ragazzi",1,15
"User_00183","Bambini e Ragazzi",1,8
"User_00184","Bambini e Ragazzi",1,30
"User_00185","Bambini e Ragazzi",1,4
"User_00186","Bambini e Ragazzi",1,12
"User_00187","Bambini e Ragazzi",1,11
"User_00188","Bambini e Ragazzi",2,120
"User_00189","Bambini e Ragazzi",1,86
"User_00190","Bambini e Ragazzi",1,40
"User_00191","Bambini e Ragazzi",1,48
"User_00192","Bambini e Ragazzi",1,20
"User_00193","Bambini e Ragazzi",1,10
"User_00194","Bambini e Ragazzi",1,2
"User_00195","Bambini e Ragazzi",1,5
"User_00196","Bambini e Ragazzi",1,4
"User_00197","Bambini e Ragazzi",1,3
"User_00198","Bambini e Ragazzi",1,2
"User_00199","Bambini e Ragazzi",1,1
"User_00200","Bambini e Ragazzi",2,110
"User_00201","Bambini e Ragazzi",3,3
"User_00202","Bambini e Ragazzi",1,5
"User_00203","Bambini e Ragazzi",2,3
"User_00204","Bambini e Ragazzi",2,110
"User_00205","Bambini e Ragazzi",1,6
"User_00206","Bambini e Ragazzi",1,4
"User_00207","Bambini e Ragazzi",1,10
"User_00208","Bambini e Ragazzi",2,30
"User_00209","Bambini e Ragazzi",1,86
"User_00210","Bambini e Ragazzi",1,42
"User_00211","Bambini e Ragazzi",1,38
"User_00212","Bambini e Ragazzi",1,60
"User_00213","Bambini e Ragazzi",1,14
"User_00214","Bambini e Ragazzi",1,20
"User_00215","Bambini e Ragazzi",1,10
"User_00216","Bambini e Ragazzi",1,13
"User_00217","Bambini e Ragazzi",1,2
"User_00218","Bambini e Ragazzi",3,203
"User_00219","Bambini e Ragazzi",1,36
"User_00220","Bambini e Ragazzi",1,10
"User_00221","Bambini e Ragazzi",1,36
"User_00222","Bambini e Ragazzi",4,15
"User_00223","Bambini e Ragazzi",1,44
"User_00224","Bambini e Ragazzi",1,10
"User_00225","Bambini e Ragazzi",1,10
"User_00226","Bambini e Ragazzi",2,26
"User_00227","Bambini e Ragazzi",1,20
"User_00228","Bambini e Ragazzi",1,20
"User_00229","Bambini e Ragazzi",2,16
"User_00230","Bambini e Ragazzi",1,86
"User_00231","Bambini e Ragazzi",1,8
"User_00232","Bambini e Ragazzi",1,6
"User_00233","Bambini e Ragazzi",1,4
"User_00234","Bambini e Ragazzi",1,15
"User_00235","Bambini e Ragazzi",1,10
"User_00236","Bambini e Ragazzi",1,4
"User_00237","Bambini e Ragazzi",1,39
"User_00238","Bambini e Ragazzi",3,30
"User_00239","Bambini e Ragazzi",1,20
"User_00240","Bambini e Ragazzi",1,50
"User_00241","Bambini e Ragazzi",1,5
"User_00242","Bambini e Ragazzi",1,24
"User_00243","Bambini e Ragazzi",2,13
"User_00244","Bambini e Ragazzi",1,10
"User_00245","Bambini e Ragazzi",1,10
"User_00246","Bambini e Ragazzi",1,10
"User_00247","Bambini e Ragazzi",1,1
"User_00248","Bambini e Ragazzi",1,5
"User_00249","Bambini e Ragazzi",4,216
"User_00250","Bambini e Ragazzi",1,10
"User_00251","Bambini e Ragazzi",2,106
"User_00252","Bambini e Ragazzi",2,18
"User_00253","Bambini e Ragazzi",1,34
"User_00254","Bambini e Ragazzi",1,12
"User_00255","Bambini e Ragazzi",1,20
"User_00256","Bambini e Ragazzi",2,138
"User_00257","Bambini e Ragazzi",7,48
"User_00258","Bambini e Ragazzi",1,4
"User_00259","Bambini e Ragazzi",1,3
"User_00260","Bambini e Ragazzi",1,15
"User_00261","Bambini e Ragazzi",1,60
"User_00262","Bambini e Ragazzi",1,10
"User_00263","Bambini e Ragazzi",1,8
"User_00264","Bambini e Ragazzi",1,10
"User_00265","Bambini e Ragazzi",1,60
"User_00266","Bambini e Ragazzi",1,10
"User_00267","Bambini e Ragazzi",1,14
"User_00268","Bambini e Ragazzi",2,13
"User_00269","Bambini e Ragazzi",1,4
"User_00270","Bambini e Ragazzi",1,16
"User_00271","Bambini e Ragazzi",1,12
"User_00272","Bambini e Ragazzi",1,10
"User_00273","Bambini e Ragazzi",1,16
"User_00274","Bambini e Ragazzi",2,100
"User_00275","Bambini e Ragazzi",1,20
"User_00276","Bambini e Ragazzi",2,12
"User_00277","Bambini e Ragazzi",1,2
"User_00278","Bambini e Ragazzi",1,8
"User_00279","Bambini e Ragazzi",1,2
"User_00280","Bambini e Ragazzi",1,6
"User_00281","Bambini e Ragazzi",1,55
"User_00282","Bambini e Ragazzi",1,10
"User_00283","Bambini e Ragazzi",1,10
"User_00284","Bambini e Ragazzi",1,49
"User_00285","Bambini e Ragazzi",1,18
"User_00286","Bambini e Ragazzi",1,4
"User_00287","Bambini e Ragazzi",1,10
"User_00288","Bambini e Ragazzi",1,5
"User_00289","Bambini e Ragazzi",1,6
"User_00290","Bambini e Ragazzi",1,37
"User_00291","Bambini e Ragazzi",2,95
"User_00292","Bambini e Ragazzi",1,10
"User_00293","Bambini e Ragazzi",1,10
"User_00294","Bambini e Ragazzi",3,15
"User_00295","Bambini e Ragazzi",3,30
"User_00296","Bambini e Ragazzi",1,86
"User_00297","Bambini e Ragazzi",1,50
"User_00298","Bambini e Ragazzi",1,4
"User_00299","Bambini e Ragazzi",3,43
